game_day,home_team_id,home_team,home_score,away_team_id,away_team,away_score,winner,winner_team_id,loser_team_id,draw
2013-04-13,8,FC Kansas City,1,5,Portland Thorns,1,,,,t
2013-04-14,1,Boston Breakers,1,7,Washington Spirit,1,,,,t
2013-04-14,2,Chicago Red Stars,1,6,Seattle Reign,1,,,,t
2013-04-14,3,Sky Blue FC,1,4,Western NY Flash,0,Sky Blue FC,3,4,f
2013-04-20,7,Washington Spirit,1,4,Western NY Flash,1,,,,t
2013-04-21,5,Portland Thorns,2,6,Seattle Reign,1,Portland Thorns,5,6,f
2013-04-26,8,FC Kansas City,2,6,Seattle Reign,0,FC Kansas City,8,6,f
2013-04-27,2,Chicago Red Stars,0,5,Portland Thorns,2,Portland Thorns,5,2,f
2013-04-27,7,Washington Spirit,1,3,Sky Blue FC,2,Sky Blue FC,3,7,f
2013-04-27,4,Western NY Flash,1,1,Boston Breakers,2,Boston Breakers,1,4,f
2013-05-01,4,Western NY Flash,2,3,Sky Blue FC,1,Western NY Flash,4,3,f
2013-05-04,1,Boston Breakers,4,2,Chicago Red Stars,1,Boston Breakers,1,2,f
2013-05-04,6,Seattle Reign,0,8,FC Kansas City,1,FC Kansas City,8,6,f
2013-05-04,7,Washington Spirit,1,5,Portland Thorns,2,Portland Thorns,5,7,f
2013-05-08,3,Sky Blue FC,1,2,Chicago Red Stars,1,,,,t
2013-05-11,3,Sky Blue FC,2,6,Seattle Reign,0,Sky Blue FC,3,6,f
2013-05-11,7,Washington Spirit,1,1,Boston Breakers,1,,,,t
2013-05-11,4,Western NY Flash,2,8,FC Kansas City,1,Western NY Flash,4,8,f
2013-05-12,2,Chicago Red Stars,0,5,Portland Thorns,2,Portland Thorns,5,2,f
2013-05-16,5,Portland Thorns,0,3,Sky Blue FC,1,Sky Blue FC,3,5,f
2013-05-16,6,Seattle Reign,2,7,Washington Spirit,4,Washington Spirit,7,6,f
2013-05-18,8,FC Kansas City,2,1,Boston Breakers,0,FC Kansas City,8,1,f
2013-05-19,5,Portland Thorns,2,7,Washington Spirit,0,Portland Thorns,5,7,f
2013-05-19,6,Seattle Reign,0,3,Sky Blue FC,3,Sky Blue FC,3,6,f
2013-05-24,4,Western NY Flash,2,2,Chicago Red Stars,1,Western NY Flash,4,2,f
2013-05-25,1,Boston Breakers,3,7,Washington Spirit,0,Boston Breakers,1,7,f
2013-05-25,8,FC Kansas City,0,3,Sky Blue FC,1,Sky Blue FC,3,8,f
2013-05-25,6,Seattle Reign,0,5,Portland Thorns,1,Portland Thorns,5,6,f
