"date","home.team","home.score","away.team","away.score","home.adv","away.adv","pred.home.score","pred.away.score","home.residuals","away.residuals","home.attack","home.defend","away.attack","away.defend","home.win","away.win","tie","home.shutout","away.shutout"
2013-06-05,"Boston Breakers",,"Western NY Flash",,"home","away",1.52238762341317,1.79535176798552,,,0.739123745702108,0,0.585200973763004,-0.394293912908924,32.98,44.092,22.928,21.78,16.719
2013-06-06,"Portland Thorns",,"FC Kansas City",,"home","away",0.642623216296205,0.66282251576159,,,0.313317755625235,-0.676753272371129,0.265505249036695,-0.830964534406757,29.561,30.577,39.862,52.527,51.608
2013-06-08,"Sky Blue FC",,"Western NY Flash",,"home","away",1.5085741440959,0.685865503239493,,,0.730008767675139,-0.962274703659065,0.585200973763004,-0.394293912908924,57.192,16.83,25.978,22.19,50.631
2013-06-09,"Chicago Red Stars",,"Boston Breakers",,"home","away",1.28421426502376,2.19176027986667,,,0.174696989898941,0.0455812560285756,0.739123745702108,0,21.685,57.99,20.325,27.918,11.146
2013-06-09,"Seattle Reign",,"FC Kansas City",,"home","away",0.386263132947654,1.66599219598698,,,-0.19572199030101,0.244915610415462,0.265505249036695,-0.830964534406757,8.014,69.419,22.567,67.768,18.809
2013-06-13,"Chicago Red Stars",,"FC Kansas City",,"home","away",0.559440853480773,1.36490728747341,,,0.174696989898941,0.0455812560285756,0.265505249036695,-0.830964534406757,15.042,56.7,28.258,57.317,25.506
2013-06-15,"Washington Spirit",,"Western NY Flash",,"home","away",0.998734039178941,1.76872314780698,,,0.317577075563986,-0.0149430729207164,0.585200973763004,-0.394293912908924,21.218,55.285,23.497,36.945,17.096
2013-06-16,"Boston Breakers",,"Sky Blue FC",,"home","away",0.862689120956757,2.07509880138654,,,0.739123745702108,0,0.730008767675139,-0.962274703659065,14.637,65.423,19.94,42.171,12.574
2013-06-16,"FC Kansas City",,"Chicago Red Stars",,"home","away",1.47187423662865,0.518784063762984,,,0.265505249036695,-0.830964534406757,0.174696989898941,0.0455812560285756,60.755,13.066,26.179,23.046,59.15
2013-06-16,"Portland Thorns",,"Seattle Reign",,"home","away",1.88453939934086,0.417915816500476,,,0.313317755625235,-0.676753272371129,-0.19572199030101,0.244915610415462,73.074,7.329,19.597,15.287,65.958
2013-06-19,"Chicago Red Stars",,"Western NY Flash",,"home","away",0.865760603085391,1.87907987678566,,,0.174696989898941,0.0455812560285756,0.585200973763004,-0.394293912908924,16.54,61.538,21.922,42.489,15.191
2013-06-22,"Sky Blue FC",,"Portland Thorns",,"home","away",1.13735520316843,0.522590581715443,,,0.730008767675139,-0.962274703659065,0.313317755625235,-0.676753272371129,51.001,16.945,32.054,32.073,59.421
